LABEL: 8 y_Chronic.Pain.Fibromyalgia


001, Loss: 1687.463, TrPRC: 0.179, TrAcc: 0.201, VaPRC: 0.178, VaAcc: 0.230, TePRC: 0.174, TeAcc: 0.208
002, Loss: 1686.392, TrPRC: 0.181, TrAcc: 0.201, VaPRC: 0.180, VaAcc: 0.230, TePRC: 0.180, TeAcc: 0.208
003, Loss: 1685.531, TrPRC: 0.180, TrAcc: 0.201, VaPRC: 0.184, VaAcc: 0.230, TePRC: 0.188, TeAcc: 0.208
004, Loss: 1684.854, TrPRC: 0.185, TrAcc: 0.201, VaPRC: 0.187, VaAcc: 0.230, TePRC: 0.187, TeAcc: 0.208
005, Loss: 1684.617, TrPRC: 0.189, TrAcc: 0.201, VaPRC: 0.191, VaAcc: 0.230, TePRC: 0.200, TeAcc: 0.208
006, Loss: 1684.482, TrPRC: 0.193, TrAcc: 0.201, VaPRC: 0.194, VaAcc: 0.230, TePRC: 0.205, TeAcc: 0.208
007, Loss: 1684.497, TrPRC: 0.196, TrAcc: 0.201, VaPRC: 0.195, VaAcc: 0.230, TePRC: 0.211, TeAcc: 0.208
008, Loss: 1684.497, TrPRC: 0.202, TrAcc: 0.201, VaPRC: 0.197, VaAcc: 0.230, TePRC: 0.215, TeAcc: 0.208
009, Loss: 1684.475, TrPRC: 0.199, TrAcc: 0.201, VaPRC: 0.198, VaAcc: 0.230, TePRC: 0.214, TeAcc: 0.208
010, Loss: 1684.411, TrPRC: 0.205, TrAcc: 0.201, VaPRC: 0.199, VaAcc: 0.230, TePRC: 0.216, TeAcc: 0.208
011, Loss: 1684.276, TrPRC: 0.206, TrAcc: 0.201, VaPRC: 0.198, VaAcc: 0.230, TePRC: 0.217, TeAcc: 0.208
012, Loss: 1684.095, TrPRC: 0.207, TrAcc: 0.201, VaPRC: 0.198, VaAcc: 0.230, TePRC: 0.218, TeAcc: 0.208
013, Loss: 1683.758, TrPRC: 0.207, TrAcc: 0.201, VaPRC: 0.197, VaAcc: 0.230, TePRC: 0.218, TeAcc: 0.208
014, Loss: 1683.328, TrPRC: 0.207, TrAcc: 0.201, VaPRC: 0.195, VaAcc: 0.230, TePRC: 0.216, TeAcc: 0.208
015, Loss: 1682.929, TrPRC: 0.206, TrAcc: 0.201, VaPRC: 0.194, VaAcc: 0.230, TePRC: 0.215, TeAcc: 0.208
016, Loss: 1682.579, TrPRC: 0.202, TrAcc: 0.201, VaPRC: 0.194, VaAcc: 0.230, TePRC: 0.216, TeAcc: 0.208
017, Loss: 1682.123, TrPRC: 0.203, TrAcc: 0.201, VaPRC: 0.194, VaAcc: 0.257, TePRC: 0.220, TeAcc: 0.208
018, Loss: 1681.350, TrPRC: 0.205, TrAcc: 0.205, VaPRC: 0.195, VaAcc: 0.257, TePRC: 0.221, TeAcc: 0.221
019, Loss: 1679.977, TrPRC: 0.210, TrAcc: 0.223, VaPRC: 0.196, VaAcc: 0.264, TePRC: 0.227, TeAcc: 0.228
020, Loss: 1678.188, TrPRC: 0.214, TrAcc: 0.235, VaPRC: 0.196, VaAcc: 0.270, TePRC: 0.233, TeAcc: 0.255
021, Loss: 1676.722, TrPRC: 0.217, TrAcc: 0.258, VaPRC: 0.200, VaAcc: 0.318, TePRC: 0.220, TeAcc: 0.329
022, Loss: 1675.068, TrPRC: 0.216, TrAcc: 0.321, VaPRC: 0.199, VaAcc: 0.304, TePRC: 0.233, TeAcc: 0.315
023, Loss: 1673.404, TrPRC: 0.225, TrAcc: 0.307, VaPRC: 0.202, VaAcc: 0.324, TePRC: 0.232, TeAcc: 0.342
024, Loss: 1671.638, TrPRC: 0.226, TrAcc: 0.331, VaPRC: 0.205, VaAcc: 0.318, TePRC: 0.234, TeAcc: 0.409
025, Loss: 1670.175, TrPRC: 0.223, TrAcc: 0.384, VaPRC: 0.206, VaAcc: 0.318, TePRC: 0.248, TeAcc: 0.322
026, Loss: 1669.748, TrPRC: 0.235, TrAcc: 0.328, VaPRC: 0.207, VaAcc: 0.331, TePRC: 0.243, TeAcc: 0.369
027, Loss: 1667.794, TrPRC: 0.237, TrAcc: 0.352, VaPRC: 0.217, VaAcc: 0.365, TePRC: 0.231, TeAcc: 0.443
028, Loss: 1667.987, TrPRC: 0.234, TrAcc: 0.448, VaPRC: 0.208, VaAcc: 0.304, TePRC: 0.252, TeAcc: 0.329
029, Loss: 1667.038, TrPRC: 0.243, TrAcc: 0.345, VaPRC: 0.209, VaAcc: 0.304, TePRC: 0.252, TeAcc: 0.322
030, Loss: 1667.976, TrPRC: 0.248, TrAcc: 0.328, VaPRC: 0.210, VaAcc: 0.318, TePRC: 0.251, TeAcc: 0.362
031, Loss: 1665.735, TrPRC: 0.247, TrAcc: 0.365, VaPRC: 0.210, VaAcc: 0.365, TePRC: 0.255, TeAcc: 0.470
032, Loss: 1666.885, TrPRC: 0.249, TrAcc: 0.454, VaPRC: 0.211, VaAcc: 0.324, TePRC: 0.255, TeAcc: 0.409
033, Loss: 1664.721, TrPRC: 0.251, TrAcc: 0.397, VaPRC: 0.212, VaAcc: 0.291, TePRC: 0.244, TeAcc: 0.302
034, Loss: 1663.830, TrPRC: 0.251, TrAcc: 0.348, VaPRC: 0.213, VaAcc: 0.277, TePRC: 0.281, TeAcc: 0.289
035, Loss: 1662.116, TrPRC: 0.261, TrAcc: 0.356, VaPRC: 0.226, VaAcc: 0.351, TePRC: 0.222, TeAcc: 0.416
036, Loss: 1658.925, TrPRC: 0.251, TrAcc: 0.433, VaPRC: 0.214, VaAcc: 0.304, TePRC: 0.283, TeAcc: 0.329
037, Loss: 1658.387, TrPRC: 0.263, TrAcc: 0.382, VaPRC: 0.215, VaAcc: 0.345, TePRC: 0.271, TeAcc: 0.450
038, Loss: 1658.870, TrPRC: 0.263, TrAcc: 0.437, VaPRC: 0.222, VaAcc: 0.385, TePRC: 0.274, TeAcc: 0.477
039, Loss: 1657.748, TrPRC: 0.260, TrAcc: 0.489, VaPRC: 0.224, VaAcc: 0.318, TePRC: 0.272, TeAcc: 0.430
040, Loss: 1652.429, TrPRC: 0.262, TrAcc: 0.448, VaPRC: 0.241, VaAcc: 0.392, TePRC: 0.229, TeAcc: 0.490
041, Loss: 1649.364, TrPRC: 0.271, TrAcc: 0.535, VaPRC: 0.236, VaAcc: 0.466, TePRC: 0.228, TeAcc: 0.510
042, Loss: 1646.430, TrPRC: 0.302, TrAcc: 0.552, VaPRC: 0.292, VaAcc: 0.324, TePRC: 0.243, TeAcc: 0.383
043, Loss: 1657.845, TrPRC: 0.286, TrAcc: 0.422, VaPRC: 0.259, VaAcc: 0.568, TePRC: 0.264, TeAcc: 0.658
044, Loss: 1641.629, TrPRC: 0.321, TrAcc: 0.693, VaPRC: 0.241, VaAcc: 0.709, TePRC: 0.242, TeAcc: 0.738
045, Loss: 1658.619, TrPRC: 0.326, TrAcc: 0.761, VaPRC: 0.288, VaAcc: 0.378, TePRC: 0.260, TeAcc: 0.470
046, Loss: 1648.524, TrPRC: 0.324, TrAcc: 0.495, VaPRC: 0.289, VaAcc: 0.372, TePRC: 0.258, TeAcc: 0.450
047, Loss: 1645.559, TrPRC: 0.333, TrAcc: 0.499, VaPRC: 0.259, VaAcc: 0.561, TePRC: 0.220, TeAcc: 0.597
048, Loss: 1634.989, TrPRC: 0.349, TrAcc: 0.659, VaPRC: 0.263, VaAcc: 0.662, TePRC: 0.211, TeAcc: 0.664
049, Loss: 1639.492, TrPRC: 0.357, TrAcc: 0.752, VaPRC: 0.269, VaAcc: 0.588, TePRC: 0.220, TeAcc: 0.624
050, Loss: 1628.337, TrPRC: 0.368, TrAcc: 0.749, VaPRC: 0.268, VaAcc: 0.486, TePRC: 0.242, TeAcc: 0.550
051, Loss: 1629.387, TrPRC: 0.345, TrAcc: 0.620, VaPRC: 0.271, VaAcc: 0.459, TePRC: 0.256, TeAcc: 0.564
052, Loss: 1628.532, TrPRC: 0.342, TrAcc: 0.623, VaPRC: 0.265, VaAcc: 0.615, TePRC: 0.224, TeAcc: 0.651
053, Loss: 1623.769, TrPRC: 0.380, TrAcc: 0.775, VaPRC: 0.234, VaAcc: 0.622, TePRC: 0.221, TeAcc: 0.671
054, Loss: 1628.516, TrPRC: 0.377, TrAcc: 0.783, VaPRC: 0.266, VaAcc: 0.507, TePRC: 0.209, TeAcc: 0.597
055, Loss: 1620.728, TrPRC: 0.385, TrAcc: 0.696, VaPRC: 0.303, VaAcc: 0.419, TePRC: 0.230, TeAcc: 0.510
056, Loss: 1635.745, TrPRC: 0.347, TrAcc: 0.550, VaPRC: 0.300, VaAcc: 0.446, TePRC: 0.265, TeAcc: 0.557
057, Loss: 1630.254, TrPRC: 0.336, TrAcc: 0.615, VaPRC: 0.314, VaAcc: 0.568, TePRC: 0.249, TeAcc: 0.604
058, Loss: 1621.777, TrPRC: 0.372, TrAcc: 0.734, VaPRC: 0.302, VaAcc: 0.615, TePRC: 0.228, TeAcc: 0.691
059, Loss: 1627.142, TrPRC: 0.384, TrAcc: 0.782, VaPRC: 0.277, VaAcc: 0.642, TePRC: 0.213, TeAcc: 0.685
060, Loss: 1625.552, TrPRC: 0.410, TrAcc: 0.789, VaPRC: 0.260, VaAcc: 0.588, TePRC: 0.223, TeAcc: 0.658
061, Loss: 1619.907, TrPRC: 0.428, TrAcc: 0.781, VaPRC: 0.279, VaAcc: 0.554, TePRC: 0.226, TeAcc: 0.617
062, Loss: 1616.765, TrPRC: 0.423, TrAcc: 0.747, VaPRC: 0.274, VaAcc: 0.493, TePRC: 0.229, TeAcc: 0.557
063, Loss: 1616.195, TrPRC: 0.426, TrAcc: 0.728, VaPRC: 0.307, VaAcc: 0.473, TePRC: 0.222, TeAcc: 0.530
064, Loss: 1613.380, TrPRC: 0.440, TrAcc: 0.718, VaPRC: 0.251, VaAcc: 0.527, TePRC: 0.239, TeAcc: 0.638
065, Loss: 1607.968, TrPRC: 0.476, TrAcc: 0.806, VaPRC: 0.309, VaAcc: 0.595, TePRC: 0.235, TeAcc: 0.664
066, Loss: 1608.093, TrPRC: 0.463, TrAcc: 0.804, VaPRC: 0.330, VaAcc: 0.554, TePRC: 0.247, TeAcc: 0.644
067, Loss: 1608.587, TrPRC: 0.459, TrAcc: 0.778, VaPRC: 0.310, VaAcc: 0.547, TePRC: 0.271, TeAcc: 0.631
068, Loss: 1608.083, TrPRC: 0.454, TrAcc: 0.750, VaPRC: 0.336, VaAcc: 0.574, TePRC: 0.265, TeAcc: 0.664
069, Loss: 1602.641, TrPRC: 0.466, TrAcc: 0.792, VaPRC: 0.329, VaAcc: 0.622, TePRC: 0.237, TeAcc: 0.664
070, Loss: 1600.555, TrPRC: 0.487, TrAcc: 0.818, VaPRC: 0.334, VaAcc: 0.628, TePRC: 0.223, TeAcc: 0.671
071, Loss: 1598.731, TrPRC: 0.505, TrAcc: 0.831, VaPRC: 0.351, VaAcc: 0.595, TePRC: 0.226, TeAcc: 0.597
072, Loss: 1596.247, TrPRC: 0.505, TrAcc: 0.782, VaPRC: 0.285, VaAcc: 0.588, TePRC: 0.237, TeAcc: 0.611
073, Loss: 1602.502, TrPRC: 0.510, TrAcc: 0.801, VaPRC: 0.311, VaAcc: 0.615, TePRC: 0.276, TeAcc: 0.678
074, Loss: 1605.416, TrPRC: 0.489, TrAcc: 0.825, VaPRC: 0.309, VaAcc: 0.568, TePRC: 0.222, TeAcc: 0.631
075, Loss: 1602.729, TrPRC: 0.499, TrAcc: 0.810, VaPRC: 0.314, VaAcc: 0.547, TePRC: 0.210, TeAcc: 0.577
076, Loss: 1603.075, TrPRC: 0.495, TrAcc: 0.767, VaPRC: 0.328, VaAcc: 0.622, TePRC: 0.215, TeAcc: 0.584
077, Loss: 1600.420, TrPRC: 0.487, TrAcc: 0.797, VaPRC: 0.280, VaAcc: 0.649, TePRC: 0.211, TeAcc: 0.651
078, Loss: 1600.993, TrPRC: 0.505, TrAcc: 0.820, VaPRC: 0.275, VaAcc: 0.649, TePRC: 0.209, TeAcc: 0.638
079, Loss: 1601.813, TrPRC: 0.504, TrAcc: 0.827, VaPRC: 0.282, VaAcc: 0.635, TePRC: 0.215, TeAcc: 0.631
080, Loss: 1594.594, TrPRC: 0.502, TrAcc: 0.815, VaPRC: 0.298, VaAcc: 0.595, TePRC: 0.216, TeAcc: 0.591
081, Loss: 1597.001, TrPRC: 0.502, TrAcc: 0.781, VaPRC: 0.286, VaAcc: 0.601, TePRC: 0.203, TeAcc: 0.557
082, Loss: 1593.904, TrPRC: 0.509, TrAcc: 0.798, VaPRC: 0.298, VaAcc: 0.601, TePRC: 0.221, TeAcc: 0.617
083, Loss: 1596.998, TrPRC: 0.502, TrAcc: 0.820, VaPRC: 0.294, VaAcc: 0.622, TePRC: 0.224, TeAcc: 0.644
084, Loss: 1593.697, TrPRC: 0.507, TrAcc: 0.832, VaPRC: 0.321, VaAcc: 0.615, TePRC: 0.212, TeAcc: 0.624
085, Loss: 1591.700, TrPRC: 0.518, TrAcc: 0.825, VaPRC: 0.371, VaAcc: 0.588, TePRC: 0.204, TeAcc: 0.591
086, Loss: 1593.241, TrPRC: 0.513, TrAcc: 0.810, VaPRC: 0.368, VaAcc: 0.615, TePRC: 0.209, TeAcc: 0.591
087, Loss: 1591.236, TrPRC: 0.516, TrAcc: 0.815, VaPRC: 0.368, VaAcc: 0.635, TePRC: 0.220, TeAcc: 0.624
088, Loss: 1590.152, TrPRC: 0.517, TrAcc: 0.835, VaPRC: 0.373, VaAcc: 0.635, TePRC: 0.221, TeAcc: 0.591
089, Loss: 1590.082, TrPRC: 0.515, TrAcc: 0.829, VaPRC: 0.382, VaAcc: 0.601, TePRC: 0.224, TeAcc: 0.584
090, Loss: 1589.385, TrPRC: 0.515, TrAcc: 0.820, VaPRC: 0.331, VaAcc: 0.662, TePRC: 0.232, TeAcc: 0.631
091, Loss: 1589.639, TrPRC: 0.520, TrAcc: 0.836, VaPRC: 0.361, VaAcc: 0.622, TePRC: 0.236, TeAcc: 0.611
092, Loss: 1585.840, TrPRC: 0.524, TrAcc: 0.836, VaPRC: 0.333, VaAcc: 0.642, TePRC: 0.228, TeAcc: 0.611
093, Loss: 1585.304, TrPRC: 0.525, TrAcc: 0.844, VaPRC: 0.334, VaAcc: 0.628, TePRC: 0.225, TeAcc: 0.611
094, Loss: 1584.961, TrPRC: 0.529, TrAcc: 0.840, VaPRC: 0.345, VaAcc: 0.642, TePRC: 0.209, TeAcc: 0.597
095, Loss: 1582.841, TrPRC: 0.537, TrAcc: 0.848, VaPRC: 0.350, VaAcc: 0.622, TePRC: 0.224, TeAcc: 0.591
096, Loss: 1584.101, TrPRC: 0.537, TrAcc: 0.843, VaPRC: 0.369, VaAcc: 0.622, TePRC: 0.233, TeAcc: 0.591
097, Loss: 1583.286, TrPRC: 0.538, TrAcc: 0.844, VaPRC: 0.382, VaAcc: 0.608, TePRC: 0.244, TeAcc: 0.604
098, Loss: 1582.819, TrPRC: 0.536, TrAcc: 0.844, VaPRC: 0.387, VaAcc: 0.642, TePRC: 0.250, TeAcc: 0.631
099, Loss: 1582.750, TrPRC: 0.538, TrAcc: 0.850, VaPRC: 0.359, VaAcc: 0.588, TePRC: 0.259, TeAcc: 0.617
100, Loss: 1582.952, TrPRC: 0.540, TrAcc: 0.834, VaPRC: 0.319, VaAcc: 0.608, TePRC: 0.260, TeAcc: 0.658
101, Loss: 1582.428, TrPRC: 0.542, TrAcc: 0.844, VaPRC: 0.257, VaAcc: 0.615, TePRC: 0.257, TeAcc: 0.651
102, Loss: 1580.817, TrPRC: 0.553, TrAcc: 0.854, VaPRC: 0.264, VaAcc: 0.588, TePRC: 0.262, TeAcc: 0.631
103, Loss: 1580.559, TrPRC: 0.558, TrAcc: 0.845, VaPRC: 0.255, VaAcc: 0.595, TePRC: 0.264, TeAcc: 0.658
104, Loss: 1579.699, TrPRC: 0.556, TrAcc: 0.857, VaPRC: 0.347, VaAcc: 0.561, TePRC: 0.256, TeAcc: 0.597
105, Loss: 1584.084, TrPRC: 0.550, TrAcc: 0.813, VaPRC: 0.348, VaAcc: 0.615, TePRC: 0.267, TeAcc: 0.644
106, Loss: 1583.073, TrPRC: 0.546, TrAcc: 0.845, VaPRC: 0.345, VaAcc: 0.628, TePRC: 0.268, TeAcc: 0.664
107, Loss: 1584.435, TrPRC: 0.543, TrAcc: 0.843, VaPRC: 0.344, VaAcc: 0.568, TePRC: 0.267, TeAcc: 0.604
108, Loss: 1584.329, TrPRC: 0.544, TrAcc: 0.809, VaPRC: 0.305, VaAcc: 0.622, TePRC: 0.265, TeAcc: 0.664
109, Loss: 1582.297, TrPRC: 0.546, TrAcc: 0.844, VaPRC: 0.263, VaAcc: 0.595, TePRC: 0.262, TeAcc: 0.658
110, Loss: 1580.998, TrPRC: 0.548, TrAcc: 0.838, VaPRC: 0.272, VaAcc: 0.588, TePRC: 0.269, TeAcc: 0.651
111, Loss: 1581.338, TrPRC: 0.556, TrAcc: 0.822, VaPRC: 0.280, VaAcc: 0.635, TePRC: 0.274, TeAcc: 0.698
112, Loss: 1579.271, TrPRC: 0.563, TrAcc: 0.850, VaPRC: 0.331, VaAcc: 0.628, TePRC: 0.268, TeAcc: 0.671
